ID;ZeitID;KampagneID;FilialeID;ProduktID;Menge Ist;Menge Soll;Preis_ Pro_ Einheit;Waehrung;KampagnenkostenEUR;Umsatz_Ist;Umsatz_Soll;Herstellkosten;Gewinn;Produktkategorie;Hersteller;Einheit;Herstellkosten je Einheit in EUR;Kurztext;Langtext;Filiale-Bez;Anschrift;Filiale-PLZ;Filiale-Ort;Region;Region-Bez;Land;LandBez;Verkaufsleiter;Kampagne-Bez;Medienart;Verantwortlicher;KalMonatJahr;Jahr;Monat
2;200303;3;8;80;152;151;664,28;CAD;13798,0;100970,56;100306,28;47728;53242,56;Tablet;HP;ST;314;HP Jornada 420 Palm-Size PC;No Description;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;HP;Radio;Robert Difatta;2003-03-01;2003;März
4;200304;2;8;1;121;115;2201,7;CAD;53236,0;266405,69999999995;253195,49999999997;143869;122536,69999999995;Tablet PC;Acer;ST;1189;Acer TM C104TCi Tablet PC;900-MHz PIII-M 256 MB RAM 40 GB Hard Drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;Tablet PC;Web mails;Sarah Hicks;2003-04-01;2003;April
8;200304;2;8;15;149;162;2553,94;CAD;53236,0;380537,06;413738,28;187591;192946,06;Tablet PC;Compaq;ST;1259;Compaq TC1000T Tablet PC 470045-149;10 GHz Transmeta Crusoe 256MB RAM 40GB hard drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;Tablet PC;Web mails;Sarah Hicks;2003-04-01;2003;April
9;200304;3;8;17;150;150;2093,64;CAD;13798,0;314046,0;314046,0;154350;159696,0;Notebook;HP;ST;1029;HP Pavilion xt5335qv Notebook PC;253-GHz Pentium 4 512 MB RAM 60 GB Hard Drive DVD/CD-RW Drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;HP;Radio;Robert Difatta;2003-04-01;2003;April
13;200304;2;8;31;118;108;2686,73;CAD;53236,0;317034,14;290166,84;181720;135314,14;Tablet PC;Toshiba;ST;1540;Toshiba Portege 3505 Tablet PC;133-GHz Pentium III 512 MB RAM 40 GB Hard Drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;Tablet PC;Web mails;Sarah Hicks;2003-04-01;2003;April
18;200304;3;8;50;141;124;994,2;CAD;13798,0;140182,2;123280,8;59220;80962,20000000001;Desktop;HP;ST;420;HP Pavilion 514n Desktop PC;22 GHz Celeron 256MB RAM 60GB hard drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;HP;Radio;Robert Difatta;2003-04-01;2003;April
22;200304;3;8;80;136;132;664,28;CAD;13798,0;90342,08;87684,95999999999;42704;47638,08;Tablet;HP;ST;314;HP Jornada 420 Palm-Size PC;No Description;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;HP;Radio;Robert Difatta;2003-04-01;2003;April
24;200305;2;8;1;160;153;2201,7;CAD;53236,0;352272,0;336860,1;190240;162032,0;Tablet PC;Acer;ST;1189;Acer TM C104TCi Tablet PC;900-MHz PIII-M 256 MB RAM 40 GB Hard Drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;Tablet PC;Web mails;Sarah Hicks;2003-05-01;2003;Mai
28;200305;2;8;15;119;142;2553,94;CAD;53236,0;303918,86;362659,48;149821;154097,86;Tablet PC;Compaq;ST;1259;Compaq TC1000T Tablet PC 470045-149;10 GHz Transmeta Crusoe 256MB RAM 40GB hard drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;Tablet PC;Web mails;Sarah Hicks;2003-05-01;2003;Mai
29;200305;3;8;17;104;91;2093,64;CAD;13798,0;217738,56;190521,24;107016;110722,56;Notebook;HP;ST;1029;HP Pavilion xt5335qv Notebook PC;253-GHz Pentium 4 512 MB RAM 60 GB Hard Drive DVD/CD-RW Drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;HP;Radio;Robert Difatta;2003-05-01;2003;Mai
33;200305;2;8;31;151;137;2686,73;CAD;53236,0;405696,23;368082,01;232540;173156,22999999998;Tablet PC;Toshiba;ST;1540;Toshiba Portege 3505 Tablet PC;133-GHz Pentium III 512 MB RAM 40 GB Hard Drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;Tablet PC;Web mails;Sarah Hicks;2003-05-01;2003;Mai
38;200305;3;8;50;138;152;994,2;CAD;13798,0;137199,6;151118,4;57960;79239,6;Desktop;HP;ST;420;HP Pavilion 514n Desktop PC;22 GHz Celeron 256MB RAM 60GB hard drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;HP;Radio;Robert Difatta;2003-05-01;2003;Mai
42;200305;3;8;80;108;91;664,28;CAD;13798,0;71742,23999999999;60449,479999999996;33912;37830,23999999999;Tablet;HP;ST;314;HP Jornada 420 Palm-Size PC;No Description;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;HP;Radio;Robert Difatta;2003-05-01;2003;Mai
44;200306;2;8;1;179;163;2201,7;CAD;53236,0;394104,3;358877,1;212831;181273,3;Tablet PC;Acer;ST;1189;Acer TM C104TCi Tablet PC;900-MHz PIII-M 256 MB RAM 40 GB Hard Drive;Global Computer Suppliers-Montréal;43 rue St. Laurent;H1J 1C3;Montréal;NA;Nordamerika;CA;Kanada;Jean Fresnière;Tablet PC;Web mails;Sarah Hicks;2003-06-01;2003;Juni
