ID;FilialeID;ZeitID;ProduktID;Menge Ist;Menge Soll;WerbekampagneID;Preis_ Pro_ Einheit;Waehrung;KampagnenkostenEUR;Umsatz Ist;Umsatz Soll;Herstellkosten;Gewinn;Filiale-Bez;Anschrift;Filiale-PLZ;Filiale-Ort;Region;Land;LandBez;Region-Bez;Verkaufsleiter;KalMonatJahr;Jahr;Monat;Bezeichnung;Medienart;Verantwortlicher;Produktkategorie;Hersteller;Einheit;Herstellkosten je Einheit in EUR;Kurztext;Langtext
0;2;200301;1;64;69;2;1298,04;EUR;53236,0;83074,56;89564,76;76096;6978,559999999998;Global Computer Suppliers-Graz;Kirchgasse 6;8010;Graz;EU;AT;Österreich;Europa;Roland Mendel;2003-01-01;2003;Januar;Tablet PC;Web mails;Sarah Hicks;Tablet PC;Acer;ST;1189;Acer TM C104TCi Tablet PC;900-MHz PIII-M 256 MB RAM 40 GB Hard Drive
1;2;200301;2;77;63;0;1421,3;EUR;0,0;109440,09999999999;89541,9;65527;43913,09999999999;Global Computer Suppliers-Graz;Kirchgasse 6;8010;Graz;EU;AT;Österreich;Europa;Roland Mendel;2003-01-01;2003;Januar;0;0;0;Notebook;Acer;ST;851;Acer TravelMate 233XV Notebook;20-GHz Celeron-M 256 MB RAM 30 GB Hard Drive DVD Drive
2;2;200301;7;71;68;0;1943,45;EUR;0,0;137984,95;132154,6;74266;63718,95000000001;Global Computer Suppliers-Graz;Kirchgasse 6;8010;Graz;EU;AT;Österreich;Europa;Roland Mendel;2003-01-01;2003;Januar;0;0;0;Notebook;Apple;ST;1046;Apple iBook Notebook 141 M9009LL/A;900-MHz PowerPC G3 256 MB RAM 40 GB Hard Drive
3;2;200301;12;49;56;0;886,31;EUR;0,0;43429,189999999995;49633,36;27440;15989,189999999995;Global Computer Suppliers-Graz;Kirchgasse 6;8010;Graz;EU;AT;Österreich;Europa;Roland Mendel;2003-01-01;2003;Januar;0;0;0;Notebook;Compaq;ST;560;Compaq Presario 1215 Notebook;1-GHz Athlon 128 MB RAM 20 GB hard drive
4;2;200301;15;44;36;2;1505,71;EUR;53236,0;66251,24;54205,56;55396;10855,240000000005;Global Computer Suppliers-Graz;Kirchgasse 6;8010;Graz;EU;AT;Österreich;Europa;Roland Mendel;2003-01-01;2003;Januar;Tablet PC;Web mails;Sarah Hicks;Tablet PC;Compaq;ST;1259;Compaq TC1000T Tablet PC 470045-149;10 GHz Transmeta Crusoe 256MB RAM 40GB hard drive
5;2;200301;17;61;69;3;1234,33;EUR;13798,0;75294,12999999999;85168,76999999999;62769;12525,12999999999;Global Computer Suppliers-Graz;Kirchgasse 6;8010;Graz;EU;AT;Österreich;Europa;Roland Mendel;2003-01-01;2003;Januar;HP;Radio;Robert Difatta;Notebook;HP;ST;1029;HP Pavilion xt5335qv Notebook PC;253-GHz Pentium 4 512 MB RAM 60 GB Hard Drive DVD/CD-RW Drive
6;2;200301;20;43;36;0;1750,81;EUR;0,0;75284,83;63029,159999999996;45752;29532,83;Global Computer Suppliers-Graz;Kirchgasse 6;8010;Graz;EU;AT;Österreich;Europa;Roland Mendel;2003-01-01;2003;Januar;0;0;0;Notebook;IBM;ST;1064;IBM ThinkPad R40 (27232FU) Notebook;130-GHz Pentium-M Centrino 256 MB RAM 20 GB Hard Drive DVD-ROM Drive
7;2;200301;24;46;49;0;1079,99;EUR;0,0;49679,54;52919,51;48300;1379,5400000000009;Global Computer Suppliers-Graz;Kirchgasse 6;8010;Graz;EU;AT;Österreich;Europa;Roland Mendel;2003-01-01;2003;Januar;0;0;0;Notebook;Sony;ST;1050;Sony VAIO PCG-FRV25 Notebook;266-GHz Pentium 4 512 MB RAM 40 GB Hard Drive DVD/CD-RW Drive
8;2;200301;25;65;53;0;1685,19;EUR;0,0;109537,35;89315,07;100100;9437,350000000006;Global Computer Suppliers-Graz;Kirchgasse 6;8010;Graz;EU;AT;Österreich;Europa;Roland Mendel;2003-01-01;2003;Januar;0;0;0;Notebook;Sony;ST;1540;Sony VAIO PCG-GRT170 Notebook;280-GHz Pentium 4 512 MB RAM 60 GB Hard Drive DVDRW/CD-RW Drive
9;2;200301;31;42;38;2;1584,0;EUR;53236,0;66528,0;60192,0;64680;1848,0;Global Computer Suppliers-Graz;Kirchgasse 6;8010;Graz;EU;AT;Österreich;Europa;Roland Mendel;2003-01-01;2003;Januar;Tablet PC;Web mails;Sarah Hicks;Tablet PC;Toshiba;ST;1540;Toshiba Portege 3505 Tablet PC;133-GHz Pentium III 512 MB RAM 40 GB Hard Drive
10;2;200301;32;57;54;0;1361,87;EUR;0,0;77626,59;73540,98;43890;33736,59;Global Computer Suppliers-Graz;Kirchgasse 6;8010;Graz;EU;AT;Österreich;Europa;Roland Mendel;2003-01-01;2003;Januar;0;0;0;Notebook;Toshiba;ST;770;Toshiba Satellite 1135-S125 Notebook;180-GHz Celeron 256 MB RAM 30 GB Hard Drive DVD/CD-RW Drive
11;2;200301;38;49;45;0;1207,48;EUR;0,0;59166,520000000004;54336,6;44394;14772,520000000004;Global Computer Suppliers-Graz;Kirchgasse 6;8010;Graz;EU;AT;Österreich;Europa;Roland Mendel;2003-01-01;2003;Januar;0;0;0;Desktop;Apple;ST;906;Apple eMac Desktop 17 M8951LL/A;10-GHz PowerPC G4 256 MB RAM 80 GB Hard Drive DVD-RW/CD-RW Drive
12;2;200301;40;67;77;0;1644,48;EUR;0,0;110180,16;126624,96;53667;56513,16;Global Computer Suppliers-Graz;Kirchgasse 6;8010;Graz;EU;AT;Österreich;Europa;Roland Mendel;2003-01-01;2003;Januar;0;0;0;Desktop;Apple;ST;801;Apple Power Mac Desktop M8839LL/A;10-GHz PowerPC G4 256 MB RAM 60 GB Hard Drive DVD/CD-RW Drive
13;2;200301;44;73;73;0;495,44;EUR;0,0;36167,12;36167,12;20440;15727,120000000003;Global Computer Suppliers-Graz;Kirchgasse 6;8010;Graz;EU;AT;Österreich;Europa;Roland Mendel;2003-01-01;2003;Januar;0;0;0;Desktop;Compaq;ST;280;Compaq Presario 6400NX Desktop PC;153 GHz Athlon XP 1800 128MB RAM 40GB hard drive
